Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,1.658764,1.558455,0.373300,0.449500,0.100000,10.0
2,1.203370,1.386464,0.563600,0.538900,0.100000,9.2
3,0.960835,0.992149,0.659540,0.655000,0.100000,9.2
4,0.811190,1.037348,0.715720,0.662700,0.100000,8.8
5,0.707463,0.860479,0.753220,0.720500,0.100000,9.0
6,0.643613,0.672805,0.778580,0.776800,0.100000,9.1
7,0.598209,0.640747,0.793800,0.786400,0.100000,9.0
8,0.561610,0.744459,0.807280,0.758900,0.100000,9.0
9,0.536053,0.643204,0.814340,0.786400,0.100000,9.0
10,0.511112,0.585602,0.824640,0.807500,0.100000,9.2
11,0.489510,0.597543,0.830040,0.804600,0.100000,9.2
12,0.466139,0.568907,0.839260,0.810600,0.100000,9.1
13,0.450760,0.534466,0.844420,0.825900,0.100000,9.1
14,0.437314,0.476658,0.849520,0.837700,0.100000,9.1
15,0.430971,0.648896,0.850940,0.778800,0.100000,9.1
16,0.417163,0.563057,0.855160,0.813700,0.100000,9.2
17,0.403908,0.590659,0.860100,0.805500,0.100000,9.2
18,0.395916,0.503891,0.863860,0.838300,0.100000,9.2
19,0.387183,0.517841,0.865880,0.834300,0.100000,9.2
20,0.379537,0.569962,0.869160,0.816100,0.100000,9.1
21,0.368981,0.501517,0.871820,0.836800,0.100000,9.2
22,0.361274,0.533116,0.873100,0.827200,0.100000,9.1
23,0.352597,0.642095,0.878580,0.798300,0.100000,9.0
24,0.352822,0.525666,0.877380,0.830600,0.100000,9.2
25,0.345328,0.632311,0.879160,0.814500,0.100000,9.0
26,0.341203,0.494699,0.881240,0.836900,0.100000,9.1
27,0.335641,0.545851,0.883840,0.829700,0.100000,9.4
28,0.326664,0.506011,0.885820,0.835300,0.100000,9.6
29,0.324144,0.543439,0.886020,0.825300,0.100000,9.1
30,0.323971,0.563754,0.887480,0.829200,0.100000,9.2
31,0.317584,0.449549,0.890060,0.854100,0.100000,9.1
32,0.306992,0.456291,0.892300,0.851400,0.100000,9.2
33,0.308039,0.462818,0.892200,0.848400,0.100000,9.2
34,0.302465,0.436834,0.895920,0.856900,0.100000,9.2
35,0.300420,0.586300,0.896100,0.813400,0.100000,9.2
36,0.299660,0.480256,0.896480,0.850800,0.100000,9.2
37,0.296402,0.518633,0.895420,0.838300,0.100000,9.1
38,0.296784,0.554855,0.896580,0.830400,0.100000,9.2
39,0.292533,0.468375,0.898800,0.852600,0.100000,9.1
40,0.285389,0.579125,0.901360,0.825200,0.100000,9.1
41,0.284973,0.516934,0.901060,0.842300,0.100000,9.2
42,0.289856,0.450374,0.899620,0.853700,0.100000,9.1
43,0.277426,0.611477,0.903360,0.822600,0.100000,9.2
44,0.274283,0.517027,0.905340,0.837600,0.100000,9.2
45,0.270770,0.470618,0.905560,0.854700,0.100000,9.2
