Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,1.988988,1.613387,0.302780,0.400900,0.100000,10.6
2,1.477328,1.367955,0.456180,0.502600,0.100000,9.3
3,1.249918,1.226962,0.548140,0.560100,0.100000,9.5
4,1.049207,1.010684,0.623200,0.643200,0.100000,9.4
5,0.908630,1.012132,0.678300,0.656700,0.100000,9.4
6,0.806077,0.751235,0.715960,0.733300,0.100000,9.4
7,0.719484,0.696482,0.745840,0.763700,0.100000,9.5
8,0.639256,0.641855,0.776800,0.775900,0.100000,9.3
9,0.563640,0.718216,0.804060,0.755800,0.100000,9.4
10,0.506958,0.530416,0.822500,0.822700,0.100000,9.5
11,0.458238,0.473876,0.840180,0.841100,0.100000,9.6
12,0.428839,0.527751,0.850980,0.819700,0.100000,9.1
13,0.394478,0.519276,0.863720,0.821500,0.100000,9.3
14,0.365773,0.485056,0.872280,0.836500,0.100000,9.5
15,0.341537,0.440139,0.879660,0.848300,0.100000,9.4
16,0.321446,0.418492,0.888880,0.863000,0.100000,9.5
17,0.301739,0.491936,0.892600,0.840800,0.100000,9.5
18,0.286490,0.395246,0.899940,0.868100,0.100000,9.4
19,0.275505,0.440680,0.903280,0.854400,0.100000,9.4
20,0.257879,0.407634,0.910700,0.866900,0.100000,9.4
21,0.248957,0.416092,0.912880,0.865900,0.100000,9.4
22,0.235318,0.376296,0.917060,0.881300,0.100000,9.5
23,0.222742,0.413039,0.922500,0.867500,0.100000,9.1
24,0.216486,0.370210,0.923760,0.881000,0.100000,9.4
25,0.213735,0.396261,0.925940,0.875300,0.100000,9.4
26,0.202422,0.375065,0.929740,0.877800,0.100000,9.4
27,0.191608,0.398732,0.933600,0.871800,0.100000,9.5
28,0.191212,0.368247,0.932580,0.884800,0.100000,9.6
29,0.185222,0.375026,0.934620,0.887700,0.100000,9.7
30,0.180100,0.352918,0.937060,0.888200,0.100000,9.7
31,0.176615,0.463863,0.938280,0.861200,0.100000,9.5
32,0.169498,0.390420,0.940340,0.880400,0.100000,9.1
33,0.165543,0.391739,0.942460,0.879400,0.100000,9.4
34,0.162853,0.357083,0.943560,0.885500,0.100000,9.5
35,0.160263,0.361274,0.943440,0.888700,0.100000,9.4
36,0.156081,0.382104,0.944440,0.885300,0.100000,9.5
37,0.152142,0.408425,0.945740,0.879500,0.100000,9.4
38,0.146360,0.381095,0.948600,0.887000,0.100000,9.5
39,0.140729,0.333210,0.951460,0.900700,0.100000,9.4
40,0.140915,0.451011,0.949800,0.870300,0.100000,9.5
41,0.144325,0.364849,0.948020,0.891800,0.100000,9.7
42,0.140552,0.470991,0.950400,0.867400,0.100000,9.6
43,0.136075,0.347776,0.951840,0.894900,0.100000,9.6
44,0.133847,0.390887,0.953400,0.890100,0.100000,9.5
45,0.132731,0.371138,0.953740,0.890900,0.100000,9.6
46,0.130874,0.461111,0.953880,0.877000,0.100000,9.4
47,0.128803,0.375137,0.955240,0.890300,0.100000,9.5
48,0.122782,0.374337,0.957380,0.893500,0.100000,9.6
49,0.125813,0.348424,0.956760,0.896800,0.100000,9.5
50,0.121583,0.375355,0.956200,0.888000,0.100000,9.6
51,0.122528,0.339907,0.956860,0.898700,0.100000,9.5
52,0.127193,0.391140,0.954680,0.891200,0.100000,9.5
53,0.120301,0.358837,0.956720,0.897500,0.100000,9.7
54,0.113572,0.446463,0.960320,0.883000,0.100000,9.5
55,0.123018,0.363451,0.957580,0.894100,0.100000,9.5
56,0.117134,0.382942,0.959320,0.890100,0.100000,8.8
57,0.113117,0.337070,0.959780,0.904800,0.100000,9.5
58,0.116650,0.385254,0.959720,0.890700,0.100000,9.6
59,0.117667,0.438434,0.958320,0.881800,0.100000,9.5
60,0.107489,0.377203,0.963420,0.893100,0.100000,9.5
61,0.107753,0.450530,0.961460,0.875900,0.100000,9.5
62,0.109197,0.421360,0.961800,0.879100,0.100000,9.6
63,0.110952,0.399143,0.960780,0.890800,0.100000,9.5
