Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,3.061326,2.380880,0.103280,0.101700,0.100000,327.0
2,2.305577,2.465610,0.099640,0.101000,0.100000,324.7
3,2.306298,2.414983,0.101900,0.101300,0.100000,326.0
4,2.306101,2.560521,0.099440,0.102300,0.100000,323.8
5,2.306174,2.577557,0.100580,0.100000,0.100000,337.1
6,2.306082,2.511165,0.100100,0.104600,0.100000,343.3
7,2.306523,2.529328,0.097100,0.097500,0.100000,345.4
8,2.306049,2.694443,0.099640,0.106300,0.100000,344.1
9,2.305693,2.580429,0.099940,0.104800,0.100000,341.9
10,2.306423,2.324634,0.101220,0.101800,0.100000,327.7
11,2.304565,2.742006,0.100580,0.106100,0.100000,325.3
12,2.290124,2.299773,0.109440,0.125000,0.100000,325.5
13,2.089016,2.944196,0.180400,0.195000,0.100000,326.2
14,1.979514,13.791787,0.193140,0.204900,0.100000,328.3
15,1.947182,20.186164,0.204420,0.221900,0.100000,326.9
16,1.907559,5.365962,0.208080,0.201100,0.100000,324.9
17,1.895242,33.362895,0.209380,0.204300,0.100000,326.7
18,1.884962,1.886058,0.212560,0.236500,0.100000,326.4
19,1.848130,1.855284,0.243320,0.266500,0.100000,325.8
20,1.692328,16.369113,0.331400,0.268400,0.100000,325.5
21,1.516418,1.427053,0.426360,0.487200,0.100000,325.8
22,1.334161,1.372231,0.507780,0.510100,0.100000,326.0
23,1.207688,1.550686,0.560940,0.463300,0.100000,324.2
24,1.102176,1.424728,0.602520,0.545500,0.100000,321.9
25,1.016055,1.164089,0.637840,0.596500,0.100000,324.1
26,0.932087,0.957092,0.674960,0.667800,0.100000,322.0
27,0.861675,0.811590,0.704960,0.721100,0.100000,323.0
28,0.791837,0.878027,0.728760,0.697200,0.100000,324.5
29,0.754325,0.785756,0.741960,0.732600,0.100000,325.3
30,0.719461,0.859661,0.755160,0.717300,0.100000,325.5
31,0.678433,0.917200,0.770040,0.718800,0.100000,325.4
32,0.654693,0.656478,0.778280,0.783200,0.100000,324.6
33,0.624853,0.652208,0.788760,0.787900,0.100000,330.4
34,0.599601,0.743968,0.797140,0.754400,0.100000,327.3
35,0.584119,0.606945,0.802620,0.800900,0.100000,328.3
36,0.565307,0.672134,0.811700,0.782200,0.100000,326.5
37,0.547047,0.675328,0.815080,0.781200,0.100000,302.8
38,0.532703,0.651332,0.820240,0.787800,0.100000,331.0
39,0.515442,0.654129,0.826240,0.791800,0.100000,326.8
40,0.507287,0.582705,0.830100,0.804400,0.100000,330.1
41,0.491994,0.702513,0.834000,0.784700,0.100000,328.5
42,0.483004,0.556912,0.837560,0.818800,0.100000,328.0
43,0.471179,0.608656,0.841920,0.800600,0.100000,326.5
44,0.462661,0.662442,0.843500,0.792700,0.100000,330.3
45,0.447596,0.530666,0.849060,0.825100,0.100000,327.2
46,0.444939,0.572661,0.850500,0.813500,0.100000,327.9
47,0.434821,0.577960,0.851920,0.814800,0.100000,331.1
48,0.423757,0.529736,0.858240,0.825900,0.100000,330.8
49,0.418455,0.516848,0.857860,0.835600,0.100000,327.8
50,0.411668,0.494811,0.860760,0.832600,0.100000,327.0
51,0.408427,0.620157,0.861800,0.805100,0.100000,342.0
52,0.401815,0.515882,0.864320,0.836200,0.100000,334.0
53,0.398166,0.479930,0.864140,0.840500,0.100000,342.0
54,0.392767,0.463211,0.867120,0.847700,0.100000,339.1
55,0.386270,0.507743,0.871020,0.834700,0.100000,339.7
56,0.386360,0.499878,0.870080,0.834300,0.100000,327.3
57,0.379906,0.484229,0.872820,0.842200,0.100000,329.2
58,0.371388,0.595986,0.873280,0.810000,0.100000,331.9
59,0.373220,0.583463,0.873180,0.810800,0.100000,327.3
60,0.366213,0.584828,0.877300,0.815500,0.100000,327.9
61,0.366780,0.544937,0.875180,0.829500,0.100000,327.5
62,0.356984,0.552159,0.879720,0.817100,0.100000,328.1
63,0.353471,0.544195,0.880820,0.820900,0.100000,326.3
64,0.351943,0.588863,0.881720,0.812600,0.100000,331.1
65,0.351018,0.833973,0.881840,0.776400,0.100000,330.5
66,0.346854,0.398448,0.881520,0.867000,0.100000,327.8
67,0.341101,0.685509,0.883280,0.804800,0.100000,327.8
68,0.338495,0.578497,0.884560,0.818800,0.100000,329.1
69,0.339271,0.539700,0.885400,0.841700,0.100000,334.4
70,0.338666,0.444322,0.884120,0.863500,0.100000,326.8
71,0.333225,0.687933,0.887960,0.787700,0.100000,330.9
72,0.334414,0.601106,0.886340,0.819500,0.100000,328.0
73,0.329837,0.381585,0.887920,0.874600,0.100000,338.2
74,0.329574,0.638407,0.887640,0.802900,0.100000,333.5
75,0.326476,0.646722,0.889280,0.809200,0.100000,327.2
76,0.321985,0.488792,0.889880,0.844900,0.100000,326.4
77,0.321993,0.396807,0.890300,0.873400,0.100000,328.1
78,0.316362,0.494604,0.892360,0.836500,0.100000,327.1
79,0.319984,0.492491,0.890480,0.842400,0.100000,331.7
80,0.322738,0.434590,0.889640,0.854400,0.100000,325.8
81,0.314333,0.776272,0.892700,0.781400,0.100000,327.3
82,0.310782,0.473262,0.894640,0.845900,0.010000,327.0
83,0.169861,0.249206,0.942980,0.919000,0.010000,329.5
84,0.125386,0.241417,0.957980,0.925400,0.010000,325.5
85,0.109849,0.233276,0.962760,0.926200,0.010000,334.0
86,0.096113,0.242151,0.967040,0.925900,0.010000,327.5
87,0.088422,0.237988,0.969540,0.927500,0.010000,331.4
88,0.082531,0.241388,0.971300,0.927900,0.010000,326.5
89,0.075524,0.245654,0.974120,0.926500,0.010000,334.7
90,0.067944,0.258506,0.977340,0.927900,0.010000,326.9
91,0.066769,0.258349,0.976380,0.927700,0.010000,329.1
92,0.062071,0.275588,0.978540,0.924200,0.010000,325.0
93,0.058437,0.260680,0.980340,0.928900,0.010000,325.3
94,0.051853,0.271903,0.982140,0.928300,0.010000,327.2
95,0.052251,0.313741,0.981480,0.919400,0.010000,328.7
96,0.048293,0.292156,0.983500,0.926600,0.010000,329.5
97,0.047425,0.293506,0.983620,0.928200,0.010000,327.8
98,0.043745,0.289681,0.985500,0.923800,0.010000,327.0
99,0.044281,0.307357,0.984220,0.925500,0.010000,327.8
100,0.040196,0.310409,0.986300,0.924500,0.010000,327.0
101,0.039438,0.306862,0.986380,0.925200,0.010000,327.2
102,0.039625,0.307128,0.986280,0.929200,0.010000,336.4
103,0.038647,0.321248,0.987140,0.925500,0.010000,336.2
104,0.037358,0.308091,0.987300,0.923000,0.010000,329.1
105,0.035352,0.298053,0.987720,0.925300,0.010000,328.9
106,0.033963,0.301014,0.988540,0.925100,0.010000,329.3
107,0.033106,0.350218,0.988680,0.921500,0.010000,330.9
108,0.036334,0.338403,0.987480,0.922400,0.010000,328.5
109,0.032081,0.315983,0.988640,0.925800,0.010000,334.9
110,0.032808,0.322310,0.988940,0.924000,0.010000,333.3
111,0.031470,0.305605,0.988820,0.925500,0.010000,328.9
112,0.028854,0.348310,0.990260,0.922100,0.010000,333.6
113,0.030491,0.316506,0.989300,0.926000,0.010000,329.0
114,0.032748,0.314398,0.989240,0.926500,0.010000,339.6
115,0.030888,0.333856,0.989560,0.924000,0.010000,328.3
116,0.031103,0.323523,0.989080,0.927800,0.010000,330.0
117,0.029767,0.320154,0.990500,0.925000,0.010000,328.6
118,0.028592,0.320425,0.990200,0.928500,0.010000,330.6
119,0.030443,0.346739,0.990340,0.923300,0.010000,329.2
120,0.028069,0.320520,0.990540,0.927400,0.010000,329.1
121,0.028698,0.323580,0.990200,0.926400,0.010000,332.9
122,0.029067,0.359178,0.990460,0.917700,0.010000,331.3
123,0.027514,0.347884,0.990820,0.922400,0.001000,328.7
124,0.018066,0.314580,0.994260,0.930900,0.001000,331.1
125,0.010782,0.310512,0.996820,0.931700,0.001000,327.7
126,0.009365,0.313556,0.997520,0.933300,0.001000,327.4
127,0.008078,0.309824,0.997580,0.932900,0.001000,332.2
128,0.008670,0.316194,0.997360,0.932700,0.001000,330.7
129,0.006880,0.317332,0.998140,0.933700,0.001000,326.3
130,0.007296,0.320317,0.998100,0.931600,0.001000,313.0
131,0.005686,0.317553,0.998500,0.932700,0.001000,330.6
132,0.005719,0.322302,0.998480,0.933000,0.001000,330.8
133,0.006036,0.326131,0.998280,0.932900,0.001000,328.9
134,0.005111,0.325309,0.998780,0.933300,0.001000,333.1
135,0.004379,0.329786,0.998940,0.933600,0.001000,331.9
136,0.005036,0.333220,0.998820,0.933300,0.001000,330.6
137,0.004318,0.337938,0.998880,0.933400,0.001000,332.4
138,0.004528,0.336715,0.998940,0.932900,0.001000,332.1
139,0.004563,0.337472,0.998860,0.933500,0.001000,327.6
140,0.004211,0.339779,0.998900,0.932600,0.001000,327.3
141,0.004106,0.336589,0.998940,0.932400,0.001000,330.9
142,0.003460,0.337463,0.999260,0.934400,0.001000,329.8
143,0.003876,0.341961,0.999020,0.933600,0.001000,333.8
144,0.004381,0.340142,0.998700,0.934700,0.001000,330.4
145,0.003988,0.345485,0.998860,0.934100,0.001000,328.8
146,0.003347,0.344882,0.999160,0.933800,0.001000,329.5
147,0.003331,0.341030,0.999220,0.933300,0.001000,331.9
148,0.003266,0.347362,0.999060,0.934500,0.001000,329.6
149,0.003183,0.345881,0.999200,0.935600,0.001000,328.8
150,0.002938,0.353208,0.999220,0.935000,0.001000,329.0
151,0.003036,0.354430,0.999160,0.935600,0.001000,329.5
152,0.003088,0.350196,0.999180,0.934500,0.001000,330.4
153,0.002857,0.349247,0.999280,0.934500,0.001000,329.5
154,0.002767,0.354271,0.999440,0.936100,0.001000,330.1
155,0.002467,0.350120,0.999540,0.934600,0.001000,330.2
156,0.002995,0.353954,0.999120,0.935500,0.001000,334.7
157,0.003297,0.356927,0.999040,0.934900,0.001000,333.0
158,0.002882,0.356993,0.999100,0.934500,0.001000,332.3
159,0.002532,0.353176,0.999400,0.935200,0.001000,329.1
160,0.002184,0.358353,0.999520,0.934300,0.001000,333.4
161,0.002539,0.359965,0.999360,0.932800,0.001000,330.4
162,0.002575,0.360828,0.999440,0.934000,0.001000,342.9
163,0.002509,0.359984,0.999440,0.934600,0.001000,342.1
164,0.002629,0.361235,0.999360,0.934200,0.001000,340.0
