Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,1.793656,1.588650,0.315920,0.410800,0.100000,12.2
2,1.386291,1.315099,0.491300,0.527400,0.100000,13.0
3,1.068236,1.267020,0.617500,0.610900,0.100000,12.8
4,0.888896,0.840066,0.687420,0.710200,0.100000,12.6
5,0.753871,0.838884,0.734760,0.722500,0.100000,12.1
6,0.664150,0.710693,0.768360,0.758600,0.100000,13.0
7,0.599642,0.663819,0.792380,0.782000,0.100000,12.4
8,0.555376,0.591833,0.807500,0.799700,0.100000,12.8
9,0.515945,0.562407,0.820140,0.812000,0.100000,13.0
10,0.482213,0.623945,0.832280,0.798700,0.100000,13.1
11,0.458178,0.580914,0.841120,0.805700,0.100000,13.0
12,0.437597,0.579854,0.849080,0.805800,0.100000,12.8
13,0.418342,0.637121,0.855780,0.796000,0.100000,13.0
14,0.400685,0.504157,0.861220,0.826400,0.100000,13.1
15,0.385812,0.540510,0.865100,0.818600,0.100000,12.9
16,0.375761,0.492617,0.869800,0.830800,0.100000,13.0
17,0.361645,0.494422,0.874580,0.837200,0.100000,12.7
18,0.353026,0.467661,0.877440,0.843300,0.100000,13.1
19,0.336632,0.459052,0.883100,0.845700,0.100000,12.9
20,0.336635,0.557552,0.883640,0.823000,0.100000,12.9
21,0.322151,0.642698,0.889580,0.802000,0.100000,13.0
22,0.318192,0.506740,0.889440,0.838300,0.100000,13.1
23,0.312273,0.461440,0.892280,0.849600,0.100000,13.2
24,0.302289,0.437708,0.895080,0.859000,0.100000,13.2
25,0.303549,0.564306,0.895020,0.824600,0.100000,12.1
26,0.298466,0.504701,0.896940,0.833500,0.100000,13.2
27,0.283657,0.481556,0.902520,0.850300,0.100000,11.8
28,0.282578,0.566137,0.900960,0.825600,0.100000,11.8
29,0.281421,0.459644,0.900880,0.848500,0.100000,12.7
30,0.272177,0.479298,0.904360,0.850000,0.100000,10.7
31,0.273489,0.516326,0.903900,0.842900,0.100000,10.8
32,0.261073,0.531851,0.909740,0.833400,0.100000,13.0
33,0.262369,0.464627,0.908820,0.853400,0.100000,12.7
34,0.259396,0.389862,0.908760,0.872700,0.100000,12.9
35,0.254080,0.474564,0.909820,0.853700,0.100000,13.1
36,0.254176,0.438330,0.911100,0.863100,0.100000,10.0
37,0.245942,0.408986,0.913740,0.870000,0.100000,13.0
38,0.247128,0.450167,0.912900,0.855900,0.100000,12.0
39,0.242355,0.404636,0.916240,0.868300,0.100000,11.5
40,0.239017,0.523436,0.915980,0.844300,0.100000,12.6
41,0.239132,0.400966,0.915760,0.872000,0.100000,13.1
42,0.231162,0.847688,0.919200,0.766600,0.100000,13.1
43,0.228837,0.467211,0.920220,0.856900,0.100000,13.0
44,0.229799,0.453163,0.920660,0.865400,0.100000,13.0
45,0.232390,0.484920,0.918560,0.848600,0.100000,13.2
46,0.228755,0.444060,0.919980,0.861300,0.100000,13.0
47,0.221040,0.406885,0.922940,0.870900,0.100000,13.0
48,0.222954,0.401286,0.922820,0.876200,0.100000,13.0
49,0.223412,0.455406,0.921340,0.866000,0.100000,13.0
50,0.224923,0.414384,0.921660,0.872300,0.100000,12.2
51,0.209405,0.403482,0.926980,0.870400,0.100000,13.0
52,0.215531,0.449717,0.923480,0.855900,0.100000,13.1
53,0.212500,0.443108,0.925540,0.867900,0.100000,13.0
54,0.217112,0.452720,0.923280,0.864100,0.100000,13.0
55,0.213588,0.375373,0.925580,0.878900,0.100000,12.9
56,0.204578,0.447557,0.927740,0.864700,0.100000,13.0
57,0.208588,0.390826,0.926220,0.879400,0.100000,13.0
58,0.203093,0.425386,0.928560,0.870200,0.100000,13.1
59,0.210011,0.461251,0.924820,0.858000,0.100000,12.9
60,0.201086,0.461716,0.929440,0.869300,0.100000,12.9
61,0.205303,0.615506,0.928680,0.829000,0.100000,13.0
62,0.202954,0.354312,0.928960,0.884800,0.100000,12.9
63,0.198089,0.414956,0.930200,0.874100,0.100000,13.1
64,0.210523,0.392621,0.926040,0.875000,0.100000,12.7
65,0.199194,0.421279,0.930180,0.876500,0.100000,11.6
66,0.201584,0.558280,0.928540,0.842100,0.100000,13.1
67,0.200423,0.438540,0.928920,0.864700,0.100000,13.1
68,0.200963,0.528503,0.928940,0.851500,0.100000,12.5
69,0.196369,0.519289,0.931660,0.851400,0.100000,13.1
70,0.195834,0.405244,0.930020,0.877200,0.100000,13.0
71,0.194242,0.493646,0.930740,0.863500,0.100000,13.1
72,0.193156,0.423647,0.931480,0.876800,0.100000,12.9
73,0.191879,0.413991,0.932700,0.874100,0.100000,12.9
74,0.193840,0.452742,0.932240,0.866900,0.100000,12.9
75,0.193354,0.402758,0.932320,0.874400,0.100000,12.9
76,0.192793,0.470480,0.933480,0.867600,0.100000,12.9
77,0.188771,0.419847,0.933060,0.872700,0.100000,13.1
78,0.189431,0.471410,0.933720,0.866600,0.100000,12.9
79,0.191812,0.441716,0.930860,0.867100,0.100000,12.9
80,0.190737,0.424812,0.932240,0.874800,0.100000,13.0
81,0.183512,0.524725,0.936880,0.846600,0.100000,10.6
82,0.188183,0.578853,0.933040,0.831400,0.010000,12.9
83,0.109011,0.257081,0.963420,0.916700,0.010000,12.9
84,0.080272,0.262463,0.973720,0.919500,0.010000,13.0
85,0.068052,0.265126,0.978280,0.918900,0.010000,13.2
86,0.060194,0.262110,0.980820,0.921700,0.010000,12.2
87,0.054624,0.264282,0.982420,0.920100,0.010000,11.9
88,0.052646,0.266441,0.982360,0.921300,0.010000,10.9
89,0.048972,0.266821,0.984400,0.920700,0.010000,13.1
90,0.044121,0.266646,0.986620,0.921600,0.010000,13.1
91,0.043902,0.274087,0.985800,0.921300,0.010000,13.1
92,0.039634,0.280248,0.987460,0.923600,0.010000,13.1
93,0.039436,0.282143,0.987980,0.922400,0.010000,13.3
94,0.036722,0.281652,0.988440,0.922400,0.010000,13.1
95,0.034370,0.289343,0.989820,0.921500,0.010000,13.1
96,0.034001,0.286249,0.989620,0.922900,0.010000,13.0
97,0.031400,0.296689,0.990420,0.920200,0.010000,13.2
98,0.030071,0.303663,0.990960,0.920700,0.010000,13.2
99,0.030248,0.301284,0.990640,0.921200,0.010000,13.0
100,0.026958,0.303476,0.991600,0.922000,0.010000,13.2
101,0.026396,0.303542,0.991760,0.921600,0.010000,12.9
102,0.027632,0.308150,0.991100,0.921900,0.010000,13.1
103,0.024785,0.307781,0.992580,0.923700,0.010000,13.1
104,0.024048,0.303142,0.992880,0.923000,0.010000,13.1
105,0.022287,0.321650,0.992960,0.921300,0.010000,13.0
106,0.022825,0.315721,0.993000,0.921300,0.010000,13.0
107,0.022186,0.318733,0.993380,0.920600,0.010000,13.1
108,0.020018,0.312124,0.994100,0.924400,0.010000,12.9
109,0.020405,0.323785,0.993800,0.921200,0.010000,13.0
110,0.019868,0.319853,0.994240,0.921800,0.010000,13.1
111,0.019056,0.332001,0.994580,0.920400,0.010000,12.4
112,0.019527,0.320221,0.994000,0.922700,0.010000,13.1
