Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,1.954780,1.681306,0.259180,0.365700,0.100000,19.8
2,1.452792,1.310584,0.464120,0.533500,0.100000,18.0
3,1.102154,1.141796,0.603660,0.608800,0.100000,17.4
4,0.855126,0.785376,0.699920,0.730000,0.100000,19.1
5,0.723238,0.690301,0.747280,0.758100,0.100000,17.7
6,0.636078,0.674487,0.778500,0.772100,0.100000,12.9
7,0.581981,0.590698,0.797880,0.797700,0.100000,18.1
8,0.531656,0.592860,0.816160,0.799900,0.100000,19.2
9,0.504023,0.573824,0.825860,0.804100,0.100000,19.3
10,0.475318,0.538213,0.835580,0.820900,0.100000,19.1
11,0.448913,0.538566,0.845200,0.814400,0.100000,19.2
12,0.422600,0.737367,0.854860,0.765700,0.100000,19.2
13,0.406848,0.530850,0.859720,0.828400,0.100000,19.1
14,0.389347,0.497150,0.865840,0.836900,0.100000,19.1
15,0.376712,0.476529,0.868900,0.840600,0.100000,18.8
16,0.359273,0.531431,0.876380,0.831400,0.100000,19.2
17,0.350198,0.459320,0.878260,0.852100,0.100000,17.4
18,0.335772,0.435574,0.884140,0.856300,0.100000,19.1
19,0.327278,0.493468,0.886800,0.842700,0.100000,19.1
20,0.316402,0.453793,0.890640,0.852100,0.100000,19.2
21,0.310202,0.566149,0.892900,0.828100,0.100000,18.8
22,0.306099,0.528182,0.892880,0.835100,0.100000,18.7
23,0.294491,0.506521,0.897480,0.843100,0.100000,18.9
24,0.287846,0.442394,0.898700,0.854300,0.100000,18.0
25,0.273311,0.462052,0.906560,0.850500,0.100000,18.8
26,0.278578,0.449920,0.902980,0.855100,0.100000,19.3
27,0.272442,0.447634,0.904640,0.859400,0.100000,19.1
28,0.266736,0.431679,0.906200,0.858800,0.100000,18.8
29,0.255665,0.518244,0.910060,0.839100,0.100000,15.6
30,0.251724,0.438147,0.911680,0.862400,0.100000,19.0
31,0.250442,0.527565,0.912420,0.839800,0.100000,19.1
32,0.250077,0.426872,0.911260,0.866900,0.100000,18.8
33,0.239387,0.416588,0.917840,0.869500,0.100000,18.8
34,0.239881,0.393888,0.915640,0.872700,0.100000,18.8
35,0.233719,0.473405,0.918820,0.856300,0.100000,19.1
36,0.233275,0.492288,0.918780,0.846400,0.100000,19.0
37,0.228784,0.456493,0.920420,0.856600,0.100000,19.0
38,0.221681,0.481968,0.922420,0.853800,0.100000,19.0
39,0.224282,0.451393,0.921540,0.856800,0.100000,19.0
40,0.218961,0.465482,0.924060,0.858200,0.100000,16.1
41,0.217602,0.389602,0.922880,0.877400,0.100000,15.6
42,0.213055,0.499004,0.925720,0.851200,0.100000,18.9
43,0.214762,0.376052,0.924420,0.878300,0.100000,17.3
