Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,2.109196,1.828914,0.242420,0.319900,0.100000,27.5
2,1.722293,1.716252,0.359620,0.389500,0.100000,26.3
3,1.555514,1.567328,0.429080,0.443100,0.100000,26.1
4,1.396873,1.292903,0.491500,0.531800,0.100000,26.6
5,1.222878,1.367817,0.560420,0.547200,0.100000,26.5
6,1.053091,1.235769,0.622580,0.588500,0.100000,27.0
7,0.914397,1.072396,0.677080,0.649300,0.100000,26.6
8,0.809443,0.977697,0.717900,0.681200,0.100000,26.4
9,0.725473,0.811543,0.746540,0.737000,0.100000,26.4
10,0.664337,0.718288,0.767720,0.763800,0.100000,25.5
11,0.624073,0.937377,0.784300,0.742600,0.100000,26.4
12,0.590192,0.619720,0.796680,0.792400,0.100000,27.2
13,0.555851,0.722077,0.806200,0.775100,0.100000,26.4
14,0.530289,0.778828,0.815580,0.768800,0.100000,26.4
15,0.501749,0.594162,0.824820,0.805600,0.100000,26.4
16,0.485421,0.588015,0.831680,0.804600,0.100000,26.4
17,0.464191,0.567004,0.839200,0.814700,0.100000,26.3
18,0.448594,0.553834,0.844720,0.819400,0.100000,27.0
19,0.435141,0.615113,0.847780,0.831700,0.100000,26.4
20,0.420966,2.236494,0.853840,0.810600,0.100000,26.3
21,0.405959,0.542227,0.857900,0.837100,0.100000,26.5
22,0.398410,0.859631,0.861080,0.808600,0.100000,26.2
23,0.384295,1.726229,0.865700,0.796400,0.100000,26.4
24,0.370600,0.762594,0.870500,0.814500,0.100000,26.3
25,0.365651,0.758730,0.873840,0.840500,0.100000,26.3
26,0.354290,0.711662,0.877600,0.828300,0.100000,26.2
27,0.379636,0.533806,0.868980,0.824700,0.100000,25.2
28,0.353950,0.514715,0.876600,0.833000,0.100000,26.5
29,0.336852,0.507160,0.883760,0.829900,0.100000,26.3
30,0.329376,0.666777,0.885960,0.802600,0.100000,25.3
31,0.323065,0.477244,0.887580,0.848400,0.100000,26.3
32,0.310564,0.470904,0.891160,0.847800,0.100000,25.4
33,0.311853,0.451652,0.891280,0.851000,0.100000,26.4
34,0.296305,0.506399,0.896780,0.837200,0.100000,26.5
35,0.296861,0.479953,0.896880,0.848600,0.100000,26.2
36,0.286069,0.473986,0.899660,0.848600,0.100000,26.3
37,0.289665,0.518383,0.897560,0.833700,0.100000,26.4
38,0.280193,0.491009,0.903280,0.844200,0.100000,26.3
39,0.273411,0.535588,0.905200,0.829800,0.100000,26.3
40,0.279071,0.645611,0.902300,0.815000,0.100000,26.4
41,0.267320,0.462053,0.907180,0.857100,0.100000,26.4
42,0.263167,0.463414,0.908320,0.856000,0.100000,26.0
43,0.266620,0.442314,0.907060,0.859100,0.100000,25.4
44,0.256218,0.459013,0.910800,0.855600,0.100000,26.0
45,0.259648,0.440156,0.909300,0.859700,0.100000,26.4
46,0.247958,0.450137,0.913920,0.858400,0.100000,26.6
47,0.250262,0.498589,0.912660,0.846800,0.100000,26.4
48,0.246187,0.463073,0.913320,0.863400,0.100000,25.9
49,0.240955,0.658813,0.914780,0.818600,0.100000,26.4
50,0.241277,0.423232,0.916480,0.870700,0.100000,27.5
51,0.235785,0.444580,0.917920,0.860300,0.100000,26.5
52,0.245264,0.477510,0.914940,0.849100,0.100000,26.4
53,0.231600,0.472423,0.919580,0.857200,0.100000,26.5
54,0.226830,0.430003,0.921560,0.865700,0.100000,26.3
55,0.225187,0.465619,0.921700,0.862000,0.100000,26.4
56,0.226425,0.432497,0.921340,0.865800,0.100000,26.5
57,0.215619,0.413733,0.923880,0.867700,0.100000,26.6
58,0.222402,0.482763,0.921720,0.859500,0.100000,26.3
59,0.215637,0.469527,0.924540,0.858600,0.100000,26.5
60,0.219625,0.489535,0.922320,0.851000,0.100000,26.3
61,0.213956,0.465363,0.924340,0.859900,0.100000,26.3
62,0.210984,0.445809,0.926200,0.869000,0.100000,27.3
63,0.204515,0.399190,0.929280,0.873600,0.100000,26.4
64,0.213627,0.474777,0.924880,0.862900,0.100000,25.3
65,0.203022,0.489032,0.929200,0.856200,0.100000,26.4
66,0.201657,0.442958,0.929040,0.871600,0.100000,26.3
67,0.206161,0.476573,0.928960,0.865500,0.100000,26.2
68,0.201195,0.441818,0.929280,0.868600,0.100000,26.3
69,0.203844,0.504922,0.928860,0.855700,0.100000,26.4
70,0.196641,0.433284,0.932480,0.871600,0.100000,26.3
71,0.198166,0.511581,0.931060,0.851400,0.100000,27.0
72,0.189323,0.422013,0.933860,0.875700,0.100000,26.6
73,0.200123,0.434980,0.929360,0.878700,0.100000,26.5
74,0.189095,0.498640,0.934520,0.853600,0.100000,26.7
75,0.198612,0.438880,0.929640,0.867200,0.100000,26.2
76,0.190655,0.480124,0.932460,0.857700,0.100000,26.5
77,0.185019,0.461160,0.935060,0.862000,0.100000,26.3
78,0.191946,0.509341,0.933500,0.852700,0.100000,26.8
79,0.186204,0.430433,0.933640,0.872500,0.100000,26.8
80,0.183361,0.441590,0.935260,0.871000,0.100000,26.0
81,0.184448,0.468355,0.935640,0.869400,0.100000,26.4
82,0.183849,0.521314,0.936280,0.856000,0.010000,26.7
83,0.096760,0.281765,0.967480,0.914700,0.010000,27.1
84,0.062422,0.280035,0.980740,0.916400,0.010000,25.9
85,0.053995,0.278934,0.983080,0.918100,0.010000,26.6
86,0.045639,0.282219,0.985260,0.919400,0.010000,26.6
87,0.042981,0.288364,0.986460,0.921000,0.010000,26.5
88,0.037162,0.286383,0.989320,0.919800,0.010000,26.6
89,0.034255,0.295503,0.989500,0.921800,0.010000,26.7
90,0.030141,0.299561,0.991220,0.921700,0.010000,26.9
91,0.028660,0.299317,0.991240,0.923800,0.010000,26.5
92,0.025744,0.301401,0.992660,0.924300,0.010000,26.4
93,0.024528,0.304756,0.993320,0.922800,0.010000,26.6
94,0.022747,0.311794,0.993720,0.923300,0.010000,27.3
95,0.020596,0.307836,0.994460,0.924200,0.010000,26.5
96,0.018878,0.318529,0.994580,0.922900,0.010000,26.4
97,0.018628,0.326449,0.994840,0.921200,0.010000,26.6
98,0.017843,0.322620,0.995360,0.922400,0.010000,26.6
99,0.016498,0.322764,0.995280,0.923700,0.010000,26.5
100,0.016040,0.333368,0.995520,0.922500,0.010000,26.6
101,0.015046,0.330050,0.995800,0.922000,0.010000,27.0
102,0.013775,0.329844,0.996460,0.922600,0.010000,26.5
103,0.013692,0.336463,0.996320,0.921100,0.010000,26.0
104,0.012201,0.336604,0.996860,0.922400,0.010000,26.4
105,0.012590,0.334718,0.996580,0.923700,0.010000,26.4
106,0.011521,0.337439,0.997040,0.923100,0.010000,20.1
107,0.011373,0.342062,0.996880,0.921600,0.010000,26.0
108,0.011502,0.346311,0.997000,0.921900,0.010000,26.4
109,0.010702,0.351635,0.997220,0.922200,0.010000,26.6
110,0.010598,0.344988,0.997320,0.923100,0.010000,26.6
111,0.010005,0.346232,0.997280,0.923200,0.010000,27.5
112,0.009851,0.355664,0.997740,0.922500,0.010000,26.5
113,0.008244,0.349596,0.998180,0.922100,0.010000,26.5
114,0.009317,0.351120,0.997780,0.922100,0.010000,26.5
115,0.008307,0.357805,0.998100,0.922600,0.010000,26.4
116,0.008099,0.359695,0.998060,0.923200,0.010000,26.7
117,0.008114,0.351901,0.998220,0.923900,0.010000,26.4
118,0.007861,0.349776,0.998480,0.924600,0.010000,26.4
119,0.008111,0.357283,0.998120,0.923500,0.010000,26.8
120,0.006850,0.353813,0.998460,0.924300,0.010000,26.6
121,0.006503,0.355583,0.998580,0.925300,0.010000,27.0
122,0.006842,0.358388,0.998520,0.924600,0.010000,27.2
123,0.006775,0.357415,0.998640,0.922600,0.001000,26.5
124,0.006392,0.356124,0.998660,0.924300,0.001000,26.6
125,0.005691,0.351692,0.998980,0.924000,0.001000,26.0
126,0.005841,0.353810,0.998840,0.924700,0.001000,26.8
127,0.005083,0.353116,0.999100,0.925500,0.001000,26.5
128,0.005241,0.350397,0.999040,0.925200,0.001000,26.6
129,0.004821,0.353131,0.999180,0.925100,0.001000,26.7
130,0.005050,0.352806,0.999080,0.925500,0.001000,26.8
131,0.005005,0.350985,0.999220,0.925400,0.001000,26.5
132,0.004587,0.353902,0.999260,0.926300,0.001000,26.5
133,0.004874,0.354654,0.999260,0.925700,0.001000,26.5
134,0.005121,0.353446,0.999040,0.924900,0.001000,26.4
135,0.004562,0.354392,0.999240,0.925100,0.001000,27.1
136,0.004432,0.350182,0.999220,0.925600,0.001000,26.6
137,0.004842,0.356561,0.999120,0.925600,0.001000,26.4
138,0.004575,0.351931,0.999300,0.925600,0.001000,26.4
139,0.004623,0.352520,0.999200,0.926000,0.001000,26.8
140,0.004351,0.352163,0.999280,0.925500,0.001000,26.5
141,0.004266,0.353933,0.999320,0.925500,0.001000,26.7
142,0.004274,0.353868,0.999280,0.925100,0.001000,26.3
143,0.004775,0.350290,0.999060,0.925100,0.001000,27.8
144,0.004591,0.352661,0.999180,0.925700,0.001000,26.6
145,0.004401,0.354259,0.999180,0.926300,0.001000,26.6
