Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Learning Rate,Epoch Time(s)
1,2.837152,1.940272,0.198280,0.272800,0.100000,24.3
2,1.871741,1.721782,0.303300,0.367500,0.100000,20.9
3,1.729746,1.605173,0.356360,0.401400,0.100000,20.8
4,1.616422,1.553758,0.403960,0.437200,0.100000,20.8
5,1.523504,1.442882,0.442460,0.477200,0.100000,20.8
6,1.458303,1.421837,0.469820,0.490600,0.100000,20.8
7,1.385195,1.289519,0.496380,0.530700,0.100000,20.8
8,1.316393,1.274680,0.522640,0.542000,0.100000,20.8
9,1.243335,1.208942,0.550080,0.574800,0.100000,20.8
10,1.188427,1.176443,0.572940,0.590100,0.100000,20.9
11,1.122500,1.106385,0.598620,0.610700,0.100000,20.8
12,1.060969,1.027032,0.624720,0.641100,0.100000,20.8
13,0.993599,1.026510,0.647700,0.634800,0.100000,20.8
14,0.937384,1.002853,0.668180,0.651800,0.100000,20.9
15,0.879847,0.990312,0.689200,0.666800,0.100000,21.2
16,0.832601,0.845759,0.705160,0.707300,0.100000,20.9
17,0.784932,0.860835,0.723560,0.698900,0.100000,20.8
18,0.747806,0.836295,0.737400,0.712500,0.100000,20.8
19,0.701855,0.867098,0.753180,0.709000,0.100000,20.8
20,0.657630,0.769709,0.768680,0.737600,0.100000,20.8
21,0.625248,0.638693,0.781860,0.779300,0.100000,20.8
22,0.580451,0.688153,0.796160,0.762900,0.100000,20.8
23,0.546437,0.586963,0.807720,0.798100,0.100000,20.8
24,0.514782,0.606908,0.820960,0.797200,0.100000,20.8
25,0.482705,0.579016,0.830480,0.804000,0.100000,20.8
26,0.465337,0.636503,0.836220,0.786300,0.100000,20.8
27,0.449734,0.533387,0.844200,0.822800,0.100000,20.8
28,0.424062,0.568780,0.852100,0.810900,0.100000,20.8
29,0.413138,0.638106,0.855780,0.793400,0.100000,20.8
30,0.394002,0.536854,0.860940,0.821700,0.100000,20.8
31,0.381444,0.587041,0.865380,0.813600,0.100000,20.8
32,0.375272,0.522574,0.868540,0.828000,0.100000,20.8
33,0.356511,0.574807,0.874280,0.823900,0.100000,20.8
34,0.348145,0.479401,0.878280,0.846200,0.100000,20.8
35,0.337078,0.556982,0.881760,0.827500,0.100000,20.8
36,0.325985,0.526888,0.886120,0.830000,0.100000,20.9
37,0.317081,0.492768,0.887880,0.844000,0.100000,20.8
38,0.307737,0.480887,0.891160,0.847200,0.100000,20.8
39,0.300234,0.539588,0.895360,0.828800,0.100000,20.8
40,0.294437,0.503896,0.896680,0.841100,0.100000,20.8
41,0.294878,0.460242,0.895760,0.855900,0.100000,20.8
42,0.278123,0.457260,0.900980,0.851900,0.100000,20.8
43,0.278462,0.488968,0.901760,0.850100,0.100000,20.8
44,0.265720,0.525675,0.906800,0.843900,0.100000,20.8
45,0.265071,0.468899,0.905260,0.848200,0.100000,20.8
46,0.261761,0.424642,0.907540,0.861900,0.100000,20.8
47,0.247722,0.492648,0.913880,0.846100,0.100000,20.9
48,0.249105,0.448927,0.912960,0.854300,0.100000,20.8
49,0.241443,0.529105,0.914920,0.844100,0.100000,20.8
50,0.237285,0.482765,0.917280,0.850700,0.100000,21.1
51,0.233699,0.475675,0.918300,0.852300,0.100000,20.8
52,0.227027,0.519475,0.920400,0.842700,0.100000,20.8
53,0.228242,0.436289,0.920680,0.862800,0.100000,21.0
54,0.220009,0.408760,0.921820,0.871100,0.100000,20.8
55,0.216541,0.465147,0.923740,0.858600,0.100000,20.8
56,0.215128,0.409635,0.925720,0.872100,0.100000,20.8
57,0.211991,0.438444,0.925540,0.868600,0.100000,20.8
58,0.209652,0.442428,0.925440,0.862200,0.100000,20.9
59,0.204529,0.377988,0.927360,0.880100,0.100000,20.8
60,0.202376,0.460234,0.929220,0.863200,0.100000,20.8
61,0.196129,0.389915,0.930860,0.879000,0.100000,20.8
62,0.199648,0.423380,0.931440,0.867600,0.100000,20.9
63,0.191495,0.592692,0.932860,0.828500,0.100000,20.9
